400
28,26,5,13
46,14,6,14
46,39,6,11
59,62,5,27
71,3,16,10
68,30,24,8
29,50,5,8
38,62,7,4
73,52,10,8
92,30,28,8
112,18,7,12
113,38,6,13
129,2,2,12
130,55,2,16
96,68,24,4
156,10,12,13
149,32,37,4
154,48,40,7
167,58,15,35
196,10,10,39
170,5,18,13
200,60,20,26
238,10,8,3
216,4,5,7
228,25,8,6
213,21,4,6
252,19,5,3
227,15,7,4
227,3,3,3
243,23,5,5
241,43,7,5
219,34,6,5
230,42,4,5
242,57,5,4
226,55,6,6
238,71,7,5
228,65,6,5
232,83,4,4
246,84,9,5
251,66,6,7
253,49,5,6
250,32,7,2
254,3,4,10
268,7,4,10
267,23,0,11
272,25,1,18
263,21,2,24
269,49,3,25
263,78,4,16
290,43,15,53
291,0,15,28
304,43,34,14
325,15,11,28
311,1,38,4
347,2,4,30
348,29,4,37
336,65,13,7
322,79,34,9
365,52,11,29
364,19,24,23
361,4,25,8
